step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
432,4.0355,,4.84e-05,16.2,17.51
433,4.247,,4.84e-05,16.07,17.51
434,4.2498,,4.84e-05,16.14,17.51
435,4.2159,,4.84e-05,16.0,17.51
436,2.758,,4.84e-05,15.92,17.51
437,3.5118,,4.84e-05,16.11,17.51
438,4.2253,,4.83e-05,16.15,17.51
439,3.6072,,4.83e-05,16.23,17.51
440,4.0875,,4.83e-05,16.32,17.51
441,4.3352,,4.83e-05,16.32,17.51
442,3.8644,,4.83e-05,15.98,17.51
443,3.8161,,4.83e-05,16.02,17.51
444,4.3045,,4.83e-05,15.98,17.51
445,4.284,,4.83e-05,15.94,17.51
446,3.9912,,4.83e-05,16.15,17.51
447,4.3913,,4.83e-05,15.99,17.51
448,3.7426,,4.82e-05,15.87,17.51
449,4.0638,,4.82e-05,16.17,17.51
450,4.5821,,4.82e-05,16.24,17.51
451,3.9812,,4.82e-05,16.14,17.51
452,3.9561,,4.82e-05,16.09,17.51
453,3.2203,,4.82e-05,16.1,17.51
454,4.2505,,4.82e-05,16.03,17.51
455,4.3956,,4.82e-05,15.97,17.51
456,4.1397,,4.82e-05,15.99,17.51
457,4.463,,4.82e-05,16.12,17.51
458,4.5462,,4.81e-05,16.16,17.51
459,4.319,,4.81e-05,15.98,17.51
460,3.8056,,4.81e-05,16.08,17.51
461,3.3204,,4.81e-05,16.17,17.51
462,4.2722,,4.81e-05,16.28,17.51
463,4.3201,,4.81e-05,16.3,17.51
464,3.9773,,4.81e-05,16.18,17.51
465,4.4806,,4.81e-05,16.17,17.51
466,3.821,,4.81e-05,16.17,17.51
467,4.2728,,4.81e-05,16.16,17.51
468,4.4743,,4.80e-05,16.01,17.51
469,4.0336,,4.80e-05,16.23,17.51
470,3.043,,4.80e-05,16.22,17.51
471,3.5108,,4.80e-05,15.97,17.51
472,3.6684,,4.80e-05,16.23,17.51
473,3.8432,,4.80e-05,16.34,17.51
474,3.712,,4.80e-05,16.35,17.51
475,3.4053,,4.80e-05,16.39,17.51
476,3.7499,,4.80e-05,16.31,17.51
477,4.2067,,4.79e-05,16.21,17.51
478,3.7956,,4.79e-05,16.29,17.51
479,4.1141,,4.79e-05,16.22,17.51
480,3.5662,,4.79e-05,16.12,17.51
481,4.1355,,4.79e-05,16.18,17.51
482,3.9478,,4.79e-05,16.29,17.51
483,3.9847,,4.79e-05,16.11,17.51
484,4.3398,,4.79e-05,16.21,17.51
485,4.059,,4.79e-05,16.4,17.51
486,4.3656,,4.78e-05,16.37,17.51
487,4.4764,,4.78e-05,16.3,17.51
488,4.6622,,4.78e-05,16.34,17.51
489,3.4453,,4.78e-05,16.2,17.51
490,3.6061,,4.78e-05,16.21,17.51
491,4.1573,,4.78e-05,16.06,17.51
492,3.8968,,4.78e-05,16.06,17.51
493,4.1155,,4.78e-05,16.18,17.51
494,3.8087,,4.78e-05,16.24,17.51
495,4.4412,,4.77e-05,16.23,17.51
496,4.1313,,4.77e-05,16.04,17.51
497,4.0713,,4.77e-05,16.29,17.51
498,3.7506,,4.77e-05,16.32,17.51
499,3.8193,,4.77e-05,16.31,17.51
500,4.4328,,4.77e-05,16.22,17.51
500,,4.3539,4.77e-05,,14.45
501,4.3219,,4.77e-05,15.8,17.5
502,3.6191,,4.77e-05,15.41,17.5
503,4.1916,,4.77e-05,15.68,17.5
504,3.8242,,4.76e-05,15.73,17.5
505,3.6478,,4.76e-05,15.73,17.5
506,3.5697,,4.76e-05,15.9,17.5
507,4.1934,,4.76e-05,15.96,17.5
508,4.2306,,4.76e-05,15.79,17.5
509,4.4105,,4.76e-05,15.86,17.5
510,4.1942,,4.76e-05,15.85,17.5
511,4.5358,,4.76e-05,15.82,17.5
512,4.0961,,4.76e-05,15.96,17.5
513,3.9186,,4.75e-05,16.03,17.5
514,3.3003,,4.75e-05,16.1,17.5
515,3.9864,,4.75e-05,15.98,17.5
516,4.3236,,4.75e-05,16.19,17.5
517,4.0824,,4.75e-05,16.31,17.5
518,3.7001,,4.75e-05,16.08,17.5
519,4.32,,4.75e-05,16.15,17.5
520,3.877,,4.75e-05,16.14,17.5
521,3.8332,,4.74e-05,16.21,17.5
522,3.7893,,4.74e-05,16.1,17.5
523,4.2345,,4.74e-05,16.1,17.5
524,4.3458,,4.74e-05,16.28,17.5
525,3.4123,,4.74e-05,16.33,17.5
526,3.9267,,4.74e-05,16.39,17.5
527,3.6789,,4.74e-05,16.33,17.5
528,3.7234,,4.74e-05,16.39,17.5
529,4.2155,,4.73e-05,16.35,17.5
530,4.1639,,4.73e-05,16.25,17.5
531,4.3242,,4.73e-05,16.2,17.5
532,3.9505,,4.73e-05,16.31,17.5
533,3.6417,,4.73e-05,16.19,17.5
534,3.0131,,4.73e-05,16.19,17.5
535,3.1507,,4.73e-05,16.25,17.5
536,4.166,,4.73e-05,16.15,17.5
537,4.2345,,4.73e-05,16.32,17.5
538,3.7755,,4.72e-05,16.4,17.5
539,4.3164,,4.72e-05,16.45,17.5
540,4.0097,,4.72e-05,16.37,17.5
541,4.113,,4.72e-05,16.29,17.5
542,3.955,,4.72e-05,16.33,17.5
543,4.2395,,4.72e-05,16.18,17.5
544,3.7014,,4.72e-05,16.22,17.5
545,4.2002,,4.72e-05,16.19,17.5
546,3.7306,,4.71e-05,16.12,17.5
547,4.3075,,4.71e-05,16.14,17.5
548,4.4377,,4.71e-05,16.31,17.5
549,4.3571,,4.71e-05,16.25,17.5
550,3.9687,,4.71e-05,16.08,17.5
551,3.8358,,4.71e-05,16.31,17.5
552,4.0665,,4.71e-05,16.34,17.5
