step,train_loss,val_loss,lr,sec_per_step
612,4.4799,,9.25e-05,0.97
613,4.8533,,9.25e-05,5.6
614,4.5792,,9.24e-05,0.97
615,4.5545,,9.24e-05,0.97
616,4.4242,,9.24e-05,1.08
617,4.8766,,9.24e-05,2.15
618,4.842,,9.23e-05,0.99
619,4.4432,,9.23e-05,0.98
620,4.1867,,9.23e-05,1011.03
621,4.4236,,9.22e-05,0.96
622,4.7366,,9.22e-05,0.97
623,4.3986,,9.22e-05,0.99
624,4.7171,,9.22e-05,0.96
625,4.3679,,9.21e-05,8.57
626,4.7856,,9.21e-05,0.97
627,4.6941,,9.21e-05,0.97
628,4.506,,9.20e-05,1.02
629,4.7468,,9.20e-05,6.58
630,4.6177,,9.20e-05,0.96
631,4.6565,,9.20e-05,925.3
632,3.8745,,9.19e-05,0.97
633,4.6222,,9.19e-05,1.0
634,4.6831,,9.19e-05,0.97
635,4.3344,,9.18e-05,0.97
636,4.1642,,9.18e-05,999.11
637,4.3745,,9.18e-05,0.96
638,4.4751,,9.17e-05,0.99
639,4.7498,,9.17e-05,0.97
640,4.6493,,9.17e-05,0.97
641,4.3743,,9.17e-05,957.1
642,4.8167,,9.16e-05,0.97
643,4.1204,,9.16e-05,1.0
644,4.6714,,9.16e-05,0.97
645,4.4082,,9.15e-05,0.97
646,4.7059,,9.15e-05,562.98
647,4.789,,9.15e-05,0.96
648,4.8207,,9.14e-05,0.99
649,4.3893,,9.14e-05,1.05
650,4.5338,,9.14e-05,6.2
651,4.8318,,9.14e-05,0.96
652,4.9335,,9.13e-05,0.95
653,4.7638,,9.13e-05,0.99
654,4.7188,,9.13e-05,999.09
655,4.812,,9.12e-05,0.95
656,4.7433,,9.12e-05,0.96
657,4.5298,,9.12e-05,0.96
658,4.7269,,9.11e-05,0.99
659,4.5502,,9.11e-05,198.15
660,4.6953,,9.11e-05,0.96
661,4.3814,,9.10e-05,0.96
662,4.7778,,9.10e-05,1.21
663,4.2863,,9.10e-05,5.12
664,4.5502,,9.10e-05,0.94
665,4.3888,,9.09e-05,982.87
666,4.4339,,9.09e-05,0.96
667,4.7011,,9.09e-05,0.96
668,4.4054,,9.08e-05,0.98
669,4.5181,,9.08e-05,0.96
670,4.7024,,9.08e-05,1052.11
671,4.6638,,9.07e-05,0.97
672,4.604,,9.07e-05,0.97
673,4.6872,,9.07e-05,0.99
674,4.6014,,9.06e-05,0.96
675,4.7624,,9.06e-05,9.06
676,4.7373,,9.06e-05,0.97
677,4.4764,,9.05e-05,0.97
678,4.5333,,9.05e-05,1.78
679,4.7008,,9.05e-05,14.59
680,4.8552,,9.05e-05,11.9
681,4.7964,,9.04e-05,0.97
682,4.8924,,9.04e-05,3.95
683,4.5119,,9.04e-05,0.99
684,4.6151,,9.03e-05,0.96
685,4.9528,,9.03e-05,1.01
686,4.8843,,9.03e-05,6.95
687,4.4287,,9.02e-05,0.96
688,4.7943,,9.02e-05,1.64
689,4.829,,9.02e-05,0.96
690,4.7221,,9.01e-05,0.97
691,4.6427,,9.01e-05,1.04
692,4.6535,,9.01e-05,6.75
693,4.5135,,9.00e-05,0.98
694,4.6715,,9.00e-05,2.04
695,4.8555,,9.00e-05,0.97
696,4.9518,,8.99e-05,0.97
697,4.4476,,8.99e-05,1.31
698,4.6256,,8.99e-05,14.71
699,4.3591,,8.98e-05,15.35
700,4.4067,,8.98e-05,5.77
701,4.4518,,8.98e-05,995.73
702,4.4494,,8.97e-05,1.16
703,4.5223,,8.97e-05,0.99
704,4.7197,,8.97e-05,0.96
705,4.6919,,8.96e-05,0.96
706,4.4645,,8.96e-05,515.92
707,4.6954,,8.96e-05,1.2
708,4.6139,,8.95e-05,1.07
709,4.4853,,8.95e-05,1.02
710,4.5358,,8.95e-05,1.01
711,4.8841,,8.94e-05,1.02
712,4.5308,,8.94e-05,0.96
713,4.9555,,8.94e-05,1.0
714,4.7002,,8.93e-05,0.99
715,4.8509,,8.93e-05,1.05
716,4.7658,,8.93e-05,1.08
717,4.474,,8.92e-05,0.97
718,4.9467,,8.92e-05,1.0
719,4.3563,,8.92e-05,0.95
720,4.807,,8.91e-05,0.97
721,4.9477,,8.91e-05,0.96
722,4.5619,,8.91e-05,0.97
723,4.6417,,8.90e-05,0.99
724,4.643,,8.90e-05,0.95
725,4.8373,,8.90e-05,0.98
726,4.7866,,8.89e-05,0.98
727,4.8233,,8.89e-05,1.01
728,4.6783,,8.89e-05,1.13
729,4.7128,,8.88e-05,1.1
730,4.432,,8.88e-05,1.07
731,4.3168,,8.88e-05,1.12
