step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
528,3.7807,,4.74e-05,11.05,11.25
529,4.2737,,4.73e-05,11.18,11.25
530,4.2177,,4.73e-05,11.32,11.25
531,4.3707,,4.73e-05,11.27,11.25
532,3.9977,,4.73e-05,11.2,11.25
533,3.6868,,4.73e-05,11.23,11.25
534,3.0605,,4.73e-05,11.19,11.25
535,3.1885,,4.73e-05,11.15,11.25
536,4.2042,,4.73e-05,11.2,11.25
537,4.2938,,4.73e-05,11.1,11.25
538,3.8165,,4.72e-05,11.15,11.25
539,4.3586,,4.72e-05,11.15,11.25
540,4.0694,,4.72e-05,11.11,11.25
541,4.1746,,4.72e-05,11.07,11.25
542,4.0203,,4.72e-05,10.86,11.25
543,4.3013,,4.72e-05,10.85,11.25
544,3.754,,4.72e-05,10.93,11.25
545,4.2481,,4.72e-05,10.9,11.25
546,3.7807,,4.71e-05,11.39,11.25
547,4.3518,,4.71e-05,11.39,11.25
548,4.4904,,4.71e-05,11.08,11.25
549,4.4154,,4.71e-05,11.11,11.25
550,4.0204,,4.71e-05,11.04,11.25
551,3.8828,,4.71e-05,11.22,11.25
552,4.1247,,4.71e-05,11.48,11.25
553,3.1995,,4.70e-05,11.22,11.25
554,4.7065,,4.70e-05,11.07,11.25
555,3.7958,,4.70e-05,11.09,11.25
556,4.0469,,4.70e-05,11.02,11.25
557,4.3104,,4.70e-05,11.4,11.25
558,4.3442,,4.70e-05,11.26,11.25
559,3.9244,,4.70e-05,11.53,11.25
560,3.2449,,4.70e-05,11.52,11.25
561,3.9708,,4.69e-05,11.52,11.25
562,3.8544,,4.69e-05,11.95,11.25
563,4.0908,,4.69e-05,12.13,11.25
564,3.5032,,4.69e-05,11.36,11.25
565,3.0476,,4.69e-05,11.28,11.25
566,3.1064,,4.69e-05,11.31,11.25
567,4.3644,,4.69e-05,11.48,11.25
568,4.2776,,4.69e-05,11.83,11.25
569,4.459,,4.68e-05,11.53,11.25
570,4.3393,,4.68e-05,11.41,11.25
571,4.2805,,4.68e-05,11.4,11.25
572,4.5035,,4.68e-05,11.37,11.25
573,3.963,,4.68e-05,11.68,11.25
574,4.3671,,4.68e-05,11.54,11.25
575,3.9803,,4.68e-05,11.44,11.25
576,4.3416,,4.67e-05,11.45,11.25
577,4.1491,,4.67e-05,11.25,11.25
578,4.2932,,4.67e-05,11.38,11.25
579,4.5395,,4.67e-05,11.53,11.25
580,3.7293,,4.67e-05,11.19,11.25
581,3.9172,,4.67e-05,11.22,11.25
582,4.1666,,4.67e-05,11.2,11.25
583,3.7316,,4.67e-05,11.13,11.26
584,3.8752,,4.66e-05,11.55,11.27
585,3.279,,4.66e-05,11.19,11.27
586,4.4156,,4.66e-05,11.42,11.27
587,4.3214,,4.66e-05,11.11,11.27
588,4.2402,,4.66e-05,11.24,11.27
589,3.9194,,4.66e-05,11.59,11.27
590,4.2754,,4.66e-05,11.62,11.27
591,4.1811,,4.65e-05,11.38,11.27
592,4.4677,,4.65e-05,11.45,11.27
593,4.0473,,4.65e-05,11.37,11.27
594,3.1721,,4.65e-05,11.41,11.27
595,3.7484,,4.65e-05,11.57,11.27
596,2.9577,,4.65e-05,11.35,11.27
597,3.9349,,4.65e-05,11.36,11.27
598,3.7159,,4.64e-05,11.2,11.27
599,4.0503,,4.64e-05,11.21,11.27
600,3.335,,4.64e-05,11.4,11.27
601,4.0375,,4.64e-05,11.33,11.27
602,3.2495,,4.64e-05,11.19,11.27
