clip,n_notes,tonic,tuning_offset,western_key,pcs_raw,pcs_western,pcs_penta,penta_snapped_pct,penta_marked_pct,western_altered_pct,mean_confidence
e5501cc9_seg063.wav,28,C#,45.0,C# major,0.89,0.5797,0.89,0.9286,0.0714,0.8571,0.7417
e5501cc9_seg064.wav,21,C#,33.8,C# major,0.9099,0.5213,0.9099,0.9048,0.0952,0.7143,0.7524
e5501cc9_seg065.wav,29,C#,39.5,C# major,0.9211,0.7165,0.9211,0.8966,0.1034,0.8276,0.7755
e5501cc9_seg066.wav,31,C#,33.5,C# minor,1.0,0.9723,1.0,1.0,0.0,0.8387,0.8969
e5501cc9_seg067.wav,24,E,34.2,E major,1.0,1.0,1.0,1.0,0.0,0.875,0.8903
e5501cc9_seg068.wav,26,E,16.5,E major,0.7661,0.9457,0.7661,0.7692,0.2308,0.6154,0.7368
e5501cc9_seg069.wav,45,A,6.9,A major,0.9516,0.9847,0.9516,0.9333,0.0667,0.4,0.8319
e5501cc9_seg070.wav,41,A,7.4,A major,1.0,1.0,1.0,1.0,0.0,0.3659,0.8703
e5501cc9_seg071.wav,45,A,12.5,A major,1.0,1.0,1.0,1.0,0.0,0.4444,0.8417
e5501cc9_seg072.wav,46,A,18.0,A major,1.0,1.0,1.0,1.0,0.0,0.5435,0.8303
e5501cc9_seg073.wav,40,A,18.8,A major,1.0,1.0,1.0,1.0,0.0,0.575,0.8116
e5501cc9_seg074.wav,35,A,18.8,A major,1.0,1.0,1.0,1.0,0.0,0.6,0.8221
e5501cc9_seg075.wav,29,A,27.2,A major,1.0,1.0,1.0,1.0,0.0,0.7241,0.8689
e5501cc9_seg076.wav,28,B,22.0,E major,0.9689,0.9689,0.9689,0.9643,0.0357,0.6071,0.8051
e5501cc9_seg077.wav,38,B,17.4,E major,1.0,1.0,1.0,1.0,0.0,0.5526,0.8297
e5501cc9_seg078.wav,51,B,21.0,B minor,0.9851,1.0,0.9851,0.9804,0.0196,0.6471,0.8279
e5501cc9_seg079.wav,46,B,25.6,B minor,1.0,1.0,1.0,1.0,0.0,0.6522,0.8313
e5501cc9_seg080.wav,36,B,28.4,B minor,0.9321,0.9321,0.9321,0.9444,0.0556,0.7222,0.8016
e5501cc9_seg081.wav,37,B,29.3,B minor,0.9427,1.0,0.9427,0.9459,0.0541,0.7838,0.8326
e5501cc9_seg082.wav,41,B,21.7,E major,0.9297,1.0,0.9297,0.9268,0.0732,0.6585,0.7898
e5501cc9_seg083.wav,40,E,29.0,A major,0.9758,1.0,0.9758,0.975,0.025,0.75,0.8638
e5501cc9_seg084.wav,31,E,27.1,E major,0.9667,0.9667,0.9667,0.9677,0.0323,0.7419,0.8436
e5501cc9_seg085.wav,30,B,20.5,E major,1.0,1.0,1.0,1.0,0.0,0.6333,0.8323
e5501cc9_seg086.wav,28,E,18.4,E major,1.0,1.0,1.0,1.0,0.0,0.6429,0.8312
e5501cc9_seg087.wav,27,E,7.9,E major,0.9677,1.0,0.9677,0.963,0.037,0.4444,0.8126
e5501cc9_seg088.wav,39,B,13.5,A major,0.9599,1.0,0.9599,0.9487,0.0513,0.4615,0.8118
e5501cc9_seg089.wav,37,A,6.0,A major,0.9502,1.0,0.9502,0.9459,0.0541,0.4054,0.8346
e5501cc9_seg090.wav,41,B,7.9,A major,0.9777,1.0,0.9777,0.9756,0.0244,0.4878,0.8199
e5501cc9_seg091.wav,40,A,7.4,A major,0.939,0.9822,0.939,0.925,0.075,0.6,0.762
e5501cc9_seg092.wav,28,A,26.9,A major,0.8827,1.0,0.8827,0.8929,0.1071,0.6786,0.7884
